KOD_ZSJ,CENTROID_X,CENTROID_Y,REPRESENTATIVE_POINT_X,REPRESENTATIVE_POINT_Y
001520,14.617399070075516,50.08149586542555,14.615848284153937,50.08129311228235
001538,14.60040005684085,50.07936869061897,14.600804368150747,50.079167355902754
002585,14.603993247360082,50.01229670979291,14.602424576975187,50.01194157725767
014133,14.483298598734649,50.16625381136066,14.482548786667353,50.167024915327616
020362,14.349026188047906,49.965903470197176,14.356212448256327,49.96673570484693
029955,14.571013975550182,50.083788180067366,14.570017449538867,50.08392512329605
029963,14.590946537141637,50.08519855789677,14.587385533600978,50.085666840604404
033332,14.58695064409809,50.05868276046752,14.585810725814163,50.05819079601352
043770,14.62616337941508,50.11582383879664,14.624541145278474,50.11638193510152
043788,14.605816896497073,50.107870567074315,14.608589995400303,50.10774407896781
043796,14.621959329427238,50.10065995347345,14.621134880816369,50.10046079220726
052396,14.447355603089532,49.98776775536024,14.448893197870422,49.98799505262754
052400,14.427261859224005,49.96993307625326,14.429739595854878,49.96956540625486
065447,14.669220213836551,50.097646648746384,14.670540645093517,50.09673691730033
068501,14.641435022882737,50.062932489792445,14.641598225077155,50.06309759681665
068594,14.6247103231055,50.01376676475925,14.6271174128537,50.01364297367586
068608,14.616592202577122,50.00008490393403,14.61802667481996,49.99973901788992
072621,14.636333105143427,50.037691832265,14.636403708610864,50.03788424302469
076074,14.563314908227573,50.02305591093685,14.565599023755702,50.023258926703235
083968,14.356618101933536,49.957268040787135,14.356446121249103,49.95701446589153
083976,14.366871577086984,49.95876905083417,14.367820676915851,49.95814901542454
086428,14.35174443914274,50.00046465097442,14.349967750685451,49.99918825238328
102326,14.65352656756299,50.01718277798666,14.653196389943314,50.017382883138005
120987,14.468659397302922,49.99281436937527,14.467835583341781,49.99184825452076
126993,14.41512783245153,50.08448202706293,14.416538131915031,50.08403791347484
127001,14.41811859059254,50.08973118042221,14.418096996429638,50.08975437852291
127019,14.421047505160926,50.0915139559498,14.424056895375541,50.09099061484582
127027,14.42434336110711,50.08762508345798,14.423748363994802,50.08745495482734
127035,14.431990937317039,50.09115351148851,14.432156870153156,50.09102873433552
127043,14.434857564538138,50.08786462075366,14.43469234651624,50.08793560184806
127051,14.430534383717587,50.0840871301045,14.429798892552824,50.08348839142276
127060,14.432437930131831,50.08008478571502,14.432465454353121,50.08021480761491
127078,14.424878139322573,50.08005094728281,14.424096289673603,50.08073642130229
127086,14.415150625235027,50.0792159664257,14.415342508166866,50.078917642341814
127094,14.4003507690163,50.08739861911952,14.398288651002733,50.087162063862394
127108,14.399195777331958,50.08354018472854,14.3983869593281,50.083547374380146
127116,14.392069308778513,50.08414646505395,14.391178520504393,50.08408273006323
127124,14.390889634448488,50.08911418608037,14.391711372963819,50.089045393800376
127132,14.401041829690614,50.09209580259635,14.399202264188569,50.09207206291438
127141,14.408356203550383,50.087673636660305,14.407814399991738,50.087372633193446
127159,14.415324498083816,50.092969197430556,14.415110331362706,50.09278939607336
127167,14.438817695917937,50.07577342261715,14.438535543598638,50.07561659948463
127175,14.435287615200899,50.073083159888576,14.436442399184333,50.07270193598288
127183,14.423491845743037,50.07157215180945,14.422878435876942,50.07257183444956
127191,14.4256362853733,50.07543454785473,14.423954040371273,50.07459860342243
127205,14.433105879584355,50.07709242034442,14.433159077795814,50.07740585744462
127213,14.436851932157472,50.0831429199076,14.436887896128862,50.08272354466888
127221,14.43791850144914,50.07954275580997,14.436678847157808,50.08019608753972
127230,14.44136830002405,50.08004709703815,14.44118633213053,50.08007451901605
127248,14.445630022024558,50.07863350472761,14.446391528376441,50.07920970622888
127256,14.445523585181045,50.0748461098255,14.445297871126419,50.07468972711729
127264,14.444311797802774,50.06890656809114,14.444783294427644,50.06894183639605
127272,14.438152968526783,50.06972441419988,14.435596545570244,50.069784697770835
127281,14.434303328053737,50.06703737549861,14.4339036450811,50.06691572310955
127299,14.42765594079577,50.06508430572163,14.427057184510197,50.064452486750966
127302,14.418655422942658,50.0650692060796,14.417997002573625,50.06501366075937
127311,14.415952910263778,50.07042746352721,14.416182586197161,50.0701453639894
127329,14.415767610232708,50.075379027613955,14.415883550143427,50.075692716851464
127337,14.471945538876705,50.08963532488891,14.470884481182832,50.089221751947775
127345,14.480277194611705,50.09129194916178,14.479854846371701,50.09133344400473
127353,14.480637558452445,50.08985253336909,14.479863159765234,50.089826403990116
127361,14.47568394705647,50.08541700202774,14.476180771143653,50.08512304096314
127370,14.463730682992162,50.08434079817117,14.461858545148619,50.08490222694735
127388,14.453918151064737,50.08444155748991,14.452618162467964,50.08458730938846
127396,14.456617025627526,50.08696714685926,14.456475264908924,50.08707526366671
127400,14.457811564300016,50.09019399693907,14.463767839183046,50.09157122429019
127418,14.465807081933807,50.087794869632546,14.467326610446342,50.08746808562107
127426,14.478875474609344,50.09370899279507,14.481189666514167,50.09403762341487
127434,14.488168973683948,50.09650808618892,14.487625729163671,50.096626209614634
127442,14.492977094421057,50.09352975636848,14.492681732942728,50.09389724072392
127451,14.495026578544715,50.08995807613937,14.496175871931918,50.08973778267924
127469,14.48772255674267,50.08874792648724,14.487476234221464,50.088493953881965
127485,14.482473771999938,50.084050938621246,14.481967484717007,50.08400865139312
127493,14.47018415434441,50.08053504355261,14.471143895850428,50.080751752528975
127507,14.472028240067662,50.07719906559044,14.472424585273695,50.07730140883077
127515,14.461877787059052,50.07676336036267,14.461847026326609,50.07678083817952
127523,14.453367991460809,50.07637927783126,14.453266718340675,50.07645597448078
127531,14.457720423494742,50.08011830282766,14.457393927020869,50.08011104337815
127540,14.452541543452462,50.078726950011315,14.45189481026951,50.07919502646775
127558,14.450528529561272,50.08113335643618,14.449603810861237,50.080810533209224
127566,14.448827175443153,50.083099939503064,14.449119925627961,50.08304586805151
127574,14.442762900285727,50.08349366556446,14.441873688611919,50.083267475660975
127582,14.445168552863233,50.08622083788851,14.444757442798005,50.08607944730895
127591,14.450145696222922,50.03995499561485,14.449066678484565,50.03973615750536
127604,14.434903118367492,50.03789950279718,14.436088179975759,50.03790660889337
127612,14.439245350275414,50.042339608898516,14.440985235850146,50.042360737664254
127621,14.442922003494674,50.04604582522133,14.443099952386907,50.046603987050915
127639,14.444338969760336,50.049577851052696,14.444008576080105,50.04950694012028
127647,14.452619908003525,50.04603659960567,14.450713916526846,50.04663846649406
127655,14.450348446044748,50.03604149221501,14.450666532905178,50.035796514284996
127663,14.448332878502052,50.032810625966555,14.447819024333306,50.03268194935543
127671,14.424434059180937,50.03381038067776,14.425029044675748,50.034120393117945
127680,14.436201263143765,50.03486378394629,14.436258098208743,50.034861992905014
127698,14.43015689565785,50.04407204248898,14.430376900238375,50.04430452659294
127701,14.437041323441779,50.046539489929806,14.436957511617578,50.046022648220756
127710,14.43230162869113,50.046928787815766,14.432194331102469,50.04690300621975
127728,14.436962739252543,50.05308995341139,14.435990705087722,50.05347638265549
127736,14.442888899517728,50.056204390741584,14.44257563617954,50.055867570385615
127744,14.445078871044544,50.05339568819901,14.444961389519804,50.05335843129754
127752,14.454509700638312,50.04920064333476,14.455651617909748,50.048257962716036
127761,14.463970943165004,50.048402612666536,14.465027365769277,50.04780448199264
127779,14.464764667616747,50.033979858340935,14.465068799915247,50.03463186805351
127787,14.449840513205258,50.03064358254367,14.453171752632006,50.031243782776016
127795,14.423926911655897,50.03053857984015,14.423867110423044,50.03037365988598
127809,14.434881525654973,50.02614708156939,14.434124690631851,50.02606600152032
127817,14.429195886849893,50.024651845990846,14.429428542041403,50.024557430566105
127825,14.434536544143878,50.02370315670107,14.434560385685243,50.023918087316986
127833,14.42160645480719,50.025774428591845,14.425174939151155,50.02527717905741
127841,14.42226751846133,50.021657309196804,14.42064791246436,50.02177308501929
127850,14.410924184135135,50.02367189308456,14.411414540003182,50.02317457292004
127868,14.418556387081217,50.029127913466276,14.416611617829574,50.02928677815912
127876,14.41952810151799,50.037524071523556,14.419748655639754,50.03760435751209
127884,14.421974175578946,50.0420401676686,14.421969270811033,50.04227064401033
127892,14.421157458354083,50.04642852672126,14.424544263978689,50.04675138391511
127906,14.433212256476745,50.05101419292406,14.43095615030815,50.05201715356317
127914,14.424948855860158,50.050164635331406,14.424554398710647,50.05044505276861
127922,14.425292504861137,50.054100760912824,14.425348902331695,50.05399410165467
127931,14.43007742200868,50.05909503045975,14.430925973646588,50.05877748645555
